LineOID,temperature-0,temperature-1,temperature-2,temperature-3,temperature-4,temperature-5,temperature-6,temperature-7,temperature-8,temperature-9,temperature-10,temperature-11,temperature-12,temperature-13,temperature-14,temperature-15,temperature-16,temperature-17,temperature-18,temperature-19,temperature-20,temperature-21,temperature-22,temperature-23,temperature-24,temperature-25,temperature-26,temperature-27,temperature-28,temperature-29,temperature-30,temperature-31,temperature-32,temperature-33,temperature-34,temperature-35,temperature-36,temperature-37,temperature-38,temperature-39,temperature-40,temperature-41,temperature-42,temperature-43,temperature-44,temperature-45
864,-0.5,0.10735499999999999,0.138705,0.42836,0.722069,1.131014,1.676873,1.9343380000000001,2.344738,2.683437,3.203362,3.9643059999999997,4.128728,4.5381480000000005,5.386593,5.814257,7.038552,6.9701130000000004,8.414317,10.006735,10.463415,10.28492,11.760071,12.749293,13.042892,12.978102999999999,12.846938,13.029964999999999,13.24231,12.433672999999999,12.051615,10.803094999999999,9.81353,8.897881,3.831891,4.772605,5.5520760000000005,5.758671,3.8529730000000004,3.824236,3.335836,3.47685,2.302084,2.627471,2.426145,1.8937689999999998
865,-0.5,0.000499,0.132603,0.38967199999999996,0.687705,1.0924260000000001,1.576915,1.9019400000000002,2.3152939999999997,2.702391,3.28884,4.269234,4.639371,4.662404,5.914891000000001,6.304069999999999,7.685363000000001,7.740631,9.073978,10.57262,11.227652,11.139742,12.184223,13.434547,13.826635999999999,14.114721,14.019369000000001,13.896139999999999,13.370876,12.404221000000001,12.175769,10.846765,9.89124,8.871952,3.490175,4.391058999999999,5.149195,5.406035,3.641495,3.4963230000000003,3.047822,3.023677,1.96754,2.236262,1.9299419999999998,1.4537870000000002
866,-0.45186899999999997,0.26718200000000003,0.300073,0.519682,0.8638120000000001,1.24816,1.7802220000000002,2.041268,2.4700830000000003,2.82912,3.250587,4.428006,4.505329,4.84923,6.065972,6.8648929999999995,8.391757,6.986853999999999,8.773334,10.647776,11.184586999999999,11.421405,12.590158,13.300448999999999,13.582745999999998,13.485554,13.151717999999999,13.377406,13.523567000000002,12.425916,12.465126,11.17503,10.358214,9.259369,4.339485,5.213265,5.679673,5.954644999999999,4.167765,4.177537,3.666927,3.490632,2.330391,2.768899,2.605275,2.113404
867,-0.5,0.19589700000000002,0.289144,0.506532,0.8228270000000001,1.234163,1.6744849999999998,2.130127,2.801723,2.9862830000000002,3.3837980000000005,4.949046,5.216411,5.242506,6.995575,7.600219999999999,9.366418,8.783021000000002,9.417233,11.3256,11.927766,12.74463,13.600696,13.439209,13.707826999999998,13.985523,13.649989000000001,13.771239999999999,14.203895000000001,13.206057000000001,13.085393,11.684267,10.925632,9.945005,4.7704889999999995,5.648611,6.18116,6.420461,4.640137999999999,4.707313,4.177509,3.94826,2.930902,2.931403,3.000371,1.770286
868,-0.5,0.273123,0.278179,0.5394369999999999,0.8838959999999999,1.272049,1.802815,2.064072,2.477952,2.804281,3.280353,4.069948,4.33882,4.791995,5.690248,6.742329,8.289792,7.332433999999999,8.512667,10.498992999999999,11.12542,11.333228,12.505358,12.817148,13.480437,14.310078,14.33385,14.285379999999998,13.72356,12.544315,12.324866,11.026850999999999,10.167407,9.178363000000001,3.884526,4.866064,5.467338,5.88277,3.6897660000000005,3.8068150000000003,3.456485,3.4786699999999997,2.333908,2.7641560000000003,2.5427400000000002,1.8773830000000002
869,-0.455611,0.452716,0.312837,0.54871,0.877232,1.2669700000000002,1.790373,2.068108,2.536868,2.8423580000000004,3.2759720000000003,4.496271,4.630804,5.152129,6.219085,7.327469000000001,8.997389,7.921166,8.687654,10.807464999999999,11.489844999999999,11.295333,12.587256,13.31068,13.749664000000001,13.917373999999999,13.743026,13.927901,14.025993,12.780447,12.705895,11.447078999999999,10.522636,9.672124,4.556038,5.5238309999999995,5.97045,6.305167,4.511963,4.369473999999999,3.9228400000000003,3.875976,2.5037689999999997,3.100086,2.860179,2.367728
870,-0.45265,0.46771899999999994,0.313849,0.5452600000000001,0.9113870000000001,1.260946,1.7793970000000001,2.07943,2.619287,2.935506,3.304621,4.844171,4.992977,5.183661,6.607019,7.616045,9.249183,8.096313,8.786585,10.889449,11.669618,10.739424,12.82656,13.468558999999999,13.830981,14.090164999999999,13.896766,14.025101999999999,14.04854,12.802432000000001,13.006383999999999,11.646777,10.769867,9.847662,4.7038269999999995,5.6997089999999995,6.166879,6.450945,4.8148480000000005,4.59429,4.138566,4.064817,2.497842,3.272275,2.928216,2.55885
871,-0.5,0.350283,0.23500100000000002,0.518349,0.810863,1.229734,1.7869540000000002,2.017245,2.4206220000000003,2.762962,3.221706,3.852092,4.18634,4.542191000000001,5.60855,6.298246,7.842922,7.551792,8.998138,10.388722999999999,10.643678999999999,10.484749,12.718927,12.951183,13.140064,13.361567,13.0564,13.240203,13.585698,12.607847,12.216806,11.015728999999999,10.248966000000001,9.191880000000001,4.161442,5.039048,5.534147,5.987601000000001,3.9288760000000003,3.9386900000000002,3.554903,3.6330160000000005,2.397337,2.921606,2.488359,2.0497080000000003
872,-0.46723000000000003,0.27221999999999996,0.28377399999999997,0.503119,0.835066,1.223286,1.7597169999999998,2.020366,2.4698849999999997,2.7846580000000003,3.3113699999999997,4.425051,4.47743,4.848283,6.148775,6.908813,8.312603,7.237369,8.852771,10.568539,11.204576,10.690078,10.611392,11.384875,12.772401,13.591823999999999,13.184149,13.621341000000001,13.714703,12.822519,12.688907,11.262421,10.515829,9.490996,4.60989,5.463508,5.860908,6.195892,4.5958559999999995,4.34314,3.909334,3.7544459999999997,2.4508099999999997,2.9837700000000003,2.811136,2.326907
873,-0.480808,0.41897,0.285215,0.504972,0.8199649999999999,1.2214639999999999,1.7193599999999998,2.046868,2.479863,2.835162,3.305615,4.655223,4.706536,5.026118,6.841961,7.3359190000000005,8.877987,7.68837,9.290123,11.360737,12.052688999999999,10.811547000000001,13.46521,13.791509,13.765672,13.781106,13.446252,13.800918,13.968357000000001,12.916267,12.999098,11.477364999999999,10.742646,9.749508,4.522994000000001,5.354315,6.021636,6.289612,4.613787,4.284077,3.880257,3.813256,2.260462,2.828939,2.692062,2.266036
